"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,16,2000-12-17 13:02:00,"JAC",14,276,1,"CIN",17,263,4,-3,3,31
2000,16,2000-12-17 13:02:00,"NE",13,331,0,"BUF",10,347,1,3,3,23
2000,16,2000-12-17 13:03:00,"ATL",7,163,3,"NO",23,373,1,-16,16,30
2000,16,2000-12-17 13:03:00,"TEN",24,305,1,"CLE",0,113,2,24,24,24
2000,16,2000-12-17 13:04:00,"LAC",22,358,2,"CAR",30,169,1,-8,8,52
2000,16,2000-12-17 16:00:00,"CHI",0,104,1,"SF",17,456,1,-17,17,17
2000,16,2000-12-17 16:15:00,"BAL",13,214,2,"ARI",7,309,4,6,6,20
2000,16,2000-12-17 16:16:00,"IND",20,327,2,"MIA",13,272,3,7,7,33
2000,16,2000-12-17 20:20:00,"NYG",17,225,1,"DAL",13,145,3,4,4,30
2000,16,2000-12-18 21:00:00,"LAR",35,388,3,"TB",38,446,2,-3,3,73
2000,17,2000-12-23 12:37:00,"JAC",25,327,2,"NYG",28,373,1,-3,3,53
2000,17,2000-12-23 16:17:00,"SF",9,192,2,"DEN",38,362,1,-29,29,47
2000,17,2000-12-23 20:36:00,"BUF",42,579,2,"SEA",23,312,4,19,19,65
2000,17,2000-12-24 13:01:00,"ARI",3,245,5,"WAS",20,315,2,-17,17,23
2000,17,2000-12-24 13:02:00,"CHI",23,286,2,"DET",20,240,2,3,3,43
2000,17,2000-12-24 13:02:00,"MIA",27,310,0,"NE",24,348,3,3,3,51
2000,17,2000-12-24 13:02:00,"NYJ",20,524,6,"BAL",34,142,2,-14,14,54
2000,17,2000-12-24 13:02:00,"LAR",26,474,1,"NO",21,269,1,5,5,47
2000,17,2000-12-24 13:02:00,"TB",14,272,0,"GB",17,319,4,-3,3,31
2000,17,2000-12-24 13:03:00,"CIN",7,271,3,"PHI",16,321,4,-9,9,23
2000,17,2000-12-24 13:05:00,"KC",13,259,1,"ATL",29,288,0,-16,16,42
2000,17,2000-12-24 16:05:00,"PIT",34,316,2,"LAC",21,171,2,13,13,55
2000,17,2000-12-24 16:15:00,"CAR",9,297,4,"LV",52,409,0,-43,43,61
2000,17,2000-12-24 16:15:00,"MIN",10,236,1,"IND",31,411,1,-21,21,41
2000,17,2000-12-25 21:10:00,"DAL",0,95,5,"TEN",31,374,4,-31,31,31
2000,101,2000-12-30 12:33:00,"IND",17,293,0,"MIA",23,434,3,-6,6,40
2000,101,2000-12-30 16:05:00,"LAR",28,384,5,"NO",31,301,2,-3,3,59
2000,101,2000-12-31 12:35:00,"DEN",3,177,1,"BAL",21,240,0,-18,18,24
2000,101,2000-12-31 16:16:00,"TB",3,199,1,"PHI",21,277,1,-18,18,24
2000,102,2001-01-06 12:30:00,"NO",16,355,2,"MIN",34,429,0,-18,18,50
2000,102,2001-01-06 16:05:00,"MIA",0,204,4,"LV",27,267,1,-27,27,27
2000,102,2001-01-07 12:35:00,"BAL",24,134,0,"TEN",10,317,1,14,14,34
2000,102,2001-01-07 16:15:00,"PHI",10,186,3,"NYG",20,237,3,-10,10,30
2000,103,2001-01-14 12:37:00,"MIN",0,114,5,"NYG",41,518,2,-41,41,41
2000,103,2001-01-14 16:05:00,"BAL",16,282,2,"LV",3,191,5,13,13,19
2000,104,2001-01-28 18:28:00,"NYG",7,152,5,"BAL",34,244,0,-27,27,41
2001,1,2001-09-09 12:01:00,"LV",27,427,3,"KC",24,254,3,3,3,51
2001,1,2001-09-09 12:02:00,"DET",6,288,3,"GB",28,424,1,-22,22,34
2001,1,2001-09-09 12:03:00,"TB",10,263,2,"DAL",6,127,3,4,4,16
2001,1,2001-09-09 13:00:00,"CAR",24,291,2,"MIN",13,343,5,11,11,37
2001,1,2001-09-09 13:02:00,"CHI",6,189,2,"BAL",17,316,2,-11,11,23
2001,1,2001-09-09 13:02:00,"SEA",9,251,2,"CLE",6,239,1,3,3,15
2001,1,2001-09-09 13:03:00,"IND",45,376,3,"NYJ",24,330,2,21,21,69
2001,1,2001-09-09 13:03:00,"NE",17,292,0,"CIN",23,353,1,-6,6,40
2001,1,2001-09-09 13:05:00,"NO",24,301,0,"BUF",6,251,3,18,18,30
